Time,Angle
0.0004858970642089844,7.165999999999999
0.000982046127319336,38.208
0.0014629364013671875,75.29999999999998
0.001981973648071289,99.80799999999999
0.0024640560150146484,142.642
0.0029828548431396484,167.30399999999997
0.003350973129272461,210.688
0.003815889358520508,229.23399999999998
0.004350900650024414,259.99
0.00486302375793457,296.422
0.005352020263671875,332.81
0.005847930908203125,2.8099999999999987
0.0062830448150634766,33.147999999999996
0.0067119598388671875,63.419999999999995
0.0071909427642822266,99.43399999999998
0.007657051086425781,123.43599999999998
0.008030891418457031,153.444
0.008419036865234375,183.71599999999998
0.008777856826782227,201.844
0.009150981903076172,226.088
0.009529829025268555,250.15599999999998
0.009901046752929688,280.032
0.010277032852172852,303.726
0.010591983795166016,327.464
0.010877847671508789,345.262
0.011216878890991211,2.677999999999999
0.011513948440551758,26.503999999999998
0.011900901794433594,44.192
0.012276887893676758,73.782
0.012651920318603516,97.21199999999999
0.013025999069213867,120.66399999999999
0.013342857360839844,150.01199999999997
0.01359105110168457,161.826
0.013840913772583008,179.57999999999998
0.01409292221069336,197.29
0.01434183120727539,215.13199999999998
0.014590024948120117,226.83599999999998
0.014854907989501953,244.546
0.015091896057128906,262.10200000000003
0.015388965606689453,279.658
0.015717029571533203,297.06
0.016015052795410156,320.204
0.016386985778808594,343.392
0.016777992248535156,0.4339999999999993
0.017093896865844727,23.753999999999998
0.017340898513793945,46.876
0.017715930938720703,64.18999999999998
0.017964839935302734,87.20199999999998
0.018342018127441406,98.61999999999999
0.01858997344970703,121.52199999999999
0.018852949142456055,138.66
0.01909184455871582,155.92999999999998
0.01936483383178711,173.22199999999998
0.01973891258239746,190.57999999999998
0.02009296417236328,213.724
0.0203399658203125,236.77999999999997
0.020591020584106445,248.26399999999998
0.020839929580688477,265.358
0.021090030670166016,282.474
0.02134084701538086,299.48
0.021589994430541992,310.722
0.02183985710144043,327.772
0.022088050842285156,344.778
0.022341012954711914,1.4239999999999995
0.022589921951293945,12.754
0.02286696434020996,29.716
0.023092985153198242,46.744
0.023337841033935547,63.68399999999999
0.023588895797729492,74.904
